Transaction_ID,Date,State,City,Station_ID,Fuel_Type,Customer_Type,Vehicle_Type,Quantity_Litres,Price_Per_Litre,Revenue,Payment_Mode,Column1,Column2,Month
TXN000020,2025-03-25,Telangana,Hyderabad,ST007,Petrol,Commercial,Truck,55.81,106.92,5967.21,Cash,19,Mismatch,Mar 2025
TXN000021,2025-05-25,Tamil Nadu,Chennai,ST035,E20,Commercial,Auto,12.95,106.94,1384.87,UPI,20,Mismatch,May 2025
TXN000022,2025-03-31,Telangana,Hyderabad,ST018,E20,Commercial,Bike,22.66,106.85,2421.22,UPI,21,Mismatch,Mar 2025
TXN000023,2025-06-07,Telangana,Hyderabad,ST028,Diesel,Commercial,Bus,27.59,95.78,2642.57,Card,22,Mismatch,Jun 2025
TXN000024,2025-03-22,Andhra Pradesh,Visakhapatnam,ST022,Diesel,Commercial,Auto,70.07,96.21,6741.43,UPI,23,Mismatch,Mar 2025
TXN000025,2025-05-07,Karnataka,Bengaluru,ST042,Diesel,Individual,Auto,47.63,94.88,4519.13,Card,24,Mismatch,May 2025
TXN000026,2025-04-01,Maharashtra,Pune,ST036,E20,Individual,Auto,43.27,105.56,4567.58,Cash,25,Mismatch,Apr 2025
TXN000027,2025-02-19,Tamil Nadu,Chennai,ST035,Diesel,Commercial,Bus,79.85,96.65,7717.5,Card,26,Mismatch,Feb 2025
TXN000028,2025-03-23,Karnataka,Bengaluru,ST038,E20,Individual,Car,44.37,106.07,4706.33,Cash,27,Mismatch,Mar 2025
TXN000029,2025-01-05,Karnataka,Bengaluru,ST023,Petrol,Individual,Bike,43.67,108.09,4720.29,Cash,28,Mismatch,Jan 2025
TXN000030,2025-05-25,Andhra Pradesh,Visakhapatnam,ST019,Diesel,Commercial,Bus,16.04,97.35,1561.49,Card,29,Mismatch,May 2025
TXN000031,2025-01-14,Karnataka,Bengaluru,ST024,Petrol,Individual,Auto,66.05,106.93,7062.73,UPI,30,Mismatch,Jan 2025
TXN000032,2025-05-10,Maharashtra,Pune,ST001,Diesel,Individual,Bus,55.33,95.47,5282.36,Card,31,Mismatch,May 2025
TXN000033,2025-05-15,Telangana,Hyderabad,ST033,Diesel,Individual,Car,47.27,97.68,4617.33,Card,32,Mismatch,May 2025
TXN000034,2025-04-23,Andhra Pradesh,Visakhapatnam,ST044,Diesel,Individual,Car,9.54,94.94,905.73,Card,33,Mismatch,Apr 2025
TXN000035,2025-04-18,Maharashtra,Pune,ST013,Diesel,Individual,Bus,63.63,95.98,6107.21,Cash,34,Mismatch,Apr 2025
TXN000036,2025-01-01,Andhra Pradesh,Visakhapatnam,ST016,Petrol,Commercial,Bike,2.89,107.38,310.33,Cash,35,Mismatch,Jan 2025
TXN000037,2025-01-06,Tamil Nadu,Chennai,ST048,Petrol,Commercial,Bike,44.24,107.26,4745.18,UPI,36,Mismatch,Jan 2025
TXN000038,2025-01-17,Tamil Nadu,Chennai,ST032,E20,Commercial,Car,63.67,106.64,6789.77,UPI,37,Mismatch,Jan 2025
TXN000039,2025-04-10,Tamil Nadu,Chennai,ST045,Diesel,Individual,Car,37.7,94.93,3578.86,UPI,38,Mismatch,Apr 2025
TXN000040,2025-05-06,Telangana,Hyderabad,ST021,E20,Individual,Auto,53.28,107.66,5736.12,Card,39,Mismatch,May 2025
TXN000041,2025-02-09,Andhra Pradesh,Visakhapatnam,ST031,Diesel,Individual,Car,9.76,95.18,928.96,Card,40,Mismatch,Feb 2025
TXN000042,2025-01-14,Maharashtra,Pune,ST038,E20,Individual,Bus,5.76,108.22,623.35,Card,41,Mismatch,Jan 2025
TXN000043,2025-01-08,Karnataka,Bengaluru,ST041,E20,Commercial,Car,36.01,105.05,3782.85,Cash,42,Mismatch,Jan 2025
TXN000044,2025-02-10,Telangana,Hyderabad,ST006,E20,Commercial,Auto,61.61,108.08,6658.81,Card,43,Mismatch,Feb 2025
TXN000045,2025-03-17,Tamil Nadu,Chennai,ST038,E20,Commercial,Truck,27.97,106.82,2987.76,Cash,44,Mismatch,Mar 2025
TXN000046,2025-02-16,Tamil Nadu,Chennai,ST017,E20,Commercial,Bike,65.32,108.38,7079.38,UPI,45,Mismatch,Feb 2025
TXN000047,2025-04-20,Telangana,Hyderabad,ST044,Petrol,Commercial,Bike,25.58,109.27,2795.13,UPI,46,Mismatch,Apr 2025
TXN000048,2025-05-06,Telangana,Hyderabad,ST047,Petrol,Commercial,Auto,41.0,108.13,4433.33,UPI,47,Mismatch,May 2025
TXN000049,2025-01-09,Karnataka,Bengaluru,ST006,Petrol,Individual,Bike,68.01,108.89,7405.61,Cash,48,Mismatch,Jan 2025
TXN000050,2025-03-07,Andhra Pradesh,Visakhapatnam,ST007,E20,Commercial,Auto,50.83,107.32,5455.08,Card,49,Mismatch,Mar 2025
TXN000051,2025-03-23,Andhra Pradesh,Visakhapatnam,ST028,Petrol,Individual,Auto,45.8,106.84,4893.27,Cash,50,Mismatch,Mar 2025
TXN000052,2025-02-21,Telangana,Hyderabad,ST017,Petrol,Commercial,Bike,32.07,109.63,3515.83,UPI,51,Mismatch,Feb 2025
TXN000053,2025-04-25,Maharashtra,Pune,ST049,Petrol,Individual,Bus,48.09,106.57,5124.95,Card,52,Mismatch,Apr 2025
TXN000054,2025-03-14,Telangana,Hyderabad,ST048,Diesel,Commercial,Auto,34.18,96.4,3294.95,Cash,53,Mismatch,Mar 2025
TXN000055,2025-04-28,Tamil Nadu,Chennai,ST015,Petrol,Individual,Truck,52.02,106.62,5546.37,Card,54,Mismatch,Apr 2025
TXN000056,2025-05-01,Tamil Nadu,Chennai,ST007,Diesel,Commercial,Truck,40.83,96.56,3942.54,Cash,55,Mismatch,May 2025
TXN000057,2025-03-08,Karnataka,Bengaluru,ST041,Petrol,Commercial,Truck,9.97,108.35,1080.25,Cash,56,Mismatch,Mar 2025
TXN000058,2025-01-07,Tamil Nadu,Chennai,ST045,Petrol,Individual,Bike,48.26,107.51,5188.43,Card,57,Mismatch,Jan 2025
TXN000059,2025-04-21,Karnataka,Bengaluru,ST036,Petrol,Individual,Bike,32.01,107.18,3430.83,UPI,58,Mismatch,Apr 2025
TXN000060,2025-01-02,Maharashtra,Pune,ST022,Diesel,Commercial,Bus,8.03,96.47,774.65,Card,59,Mismatch,Jan 2025
TXN000061,2025-06-12,Karnataka,Bengaluru,ST040,Diesel,Commercial,Bike,49.79,96.88,4823.66,Card,60,Mismatch,Jun 2025
TXN000062,2025-05-22,Karnataka,Bengaluru,ST050,E20,Individual,Truck,24.96,107.82,2691.19,Card,61,Mismatch,May 2025
TXN000063,2025-03-08,Tamil Nadu,Chennai,ST019,Diesel,Commercial,Bike,45.54,95.7,4358.18,UPI,62,Mismatch,Mar 2025
TXN000064,2025-02-12,Tamil Nadu,Chennai,ST013,Diesel,Commercial,Bike,54.62,95.41,5211.29,UPI,63,Mismatch,Feb 2025
TXN000065,2025-01-29,Maharashtra,Pune,ST045,Petrol,Commercial,Auto,56.32,110.18,6205.34,Card,64,Mismatch,Jan 2025
TXN000066,2025-04-21,Karnataka,Bengaluru,ST014,E20,Commercial,Bus,60.56,106.54,6452.06,Cash,65,Mismatch,Apr 2025
TXN000067,2025-05-26,Telangana,Hyderabad,ST036,Diesel,Commercial,Auto,27.06,94.93,2568.81,Cash,66,Mismatch,May 2025
TXN000068,2025-04-23,Karnataka,Bengaluru,ST038,Diesel,Individual,Bus,50.21,95.63,4801.58,UPI,67,Mismatch,Apr 2025
TXN000069,2025-03-11,Telangana,Hyderabad,ST007,Petrol,Individual,Bike,12.38,107.83,1334.94,Card,68,Mismatch,Mar 2025
TXN000070,2025-02-22,Tamil Nadu,Chennai,ST026,Diesel,Individual,Bike,68.84,96.62,6651.32,UPI,69,Mismatch,Feb 2025
TXN000071,2025-02-21,Tamil Nadu,Chennai,ST019,Petrol,Individual,Auto,38.01,109.97,4179.96,Cash,70,Mismatch,Feb 2025
TXN000072,2025-05-21,Tamil Nadu,Chennai,ST001,E20,Commercial,Car,3.61,106.93,386.02,UPI,71,Mismatch,May 2025
TXN000073,2025-04-18,Maharashtra,Pune,ST039,Diesel,Commercial,Bike,6.18,96.49,596.31,Cash,72,Mismatch,Apr 2025
TXN000074,2025-03-04,Tamil Nadu,Chennai,ST010,Diesel,Individual,Car,34.3,97.95,3359.68,UPI,73,Mismatch,Mar 2025
TXN000075,2025-06-24,Tamil Nadu,Chennai,ST013,Petrol,Individual,Truck,36.08,109.16,3938.49,UPI,74,Mismatch,Jun 2025
TXN000076,2025-05-13,Karnataka,Bengaluru,ST014,Petrol,Commercial,Auto,55.99,107.63,6026.2,UPI,75,Mismatch,May 2025
TXN000077,2025-05-07,Karnataka,Bengaluru,ST043,Petrol,Commercial,Bike,31.85,108.01,3440.12,Card,76,Mismatch,May 2025
TXN000078,2025-01-12,Telangana,Hyderabad,ST013,Petrol,Commercial,Bus,3.93,108.02,424.52,Card,77,Mismatch,Jan 2025
TXN000079,2025-04-20,Karnataka,Bengaluru,ST033,Petrol,Commercial,Bike,17.26,110.07,1899.81,UPI,78,Mismatch,Apr 2025
TXN000080,2025-01-27,Andhra Pradesh,Visakhapatnam,ST037,Petrol,Individual,Truck,28.78,107.77,3101.62,Cash,79,Mismatch,Jan 2025
TXN000081,2025-05-22,Telangana,Hyderabad,ST034,Diesel,Individual,Auto,18.11,97.62,1767.9,Card,80,Mismatch,May 2025
TXN000082,2025-05-21,Tamil Nadu,Chennai,ST041,Diesel,Commercial,Truck,73.36,96.23,7059.43,Card,81,Mismatch,May 2025
TXN000083,2025-04-09,Tamil Nadu,Chennai,ST004,E20,Commercial,Auto,19.65,106.94,2101.37,Card,82,Mismatch,Apr 2025
TXN000084,2025-03-01,Telangana,Hyderabad,ST045,Petrol,Individual,Car,6.56,109.17,716.16,Card,83,Mismatch,Mar 2025
TXN000085,2025-03-25,Tamil Nadu,Chennai,ST014,E20,Commercial,Auto,22.85,105.6,2412.96,Card,84,Mismatch,Mar 2025
TXN000086,2025-02-15,Andhra Pradesh,Visakhapatnam,ST017,Petrol,Commercial,Bike,61.41,106.88,6563.5,UPI,85,Mismatch,Feb 2025
TXN000087,2025-03-14,Telangana,Hyderabad,ST012,E20,Commercial,Car,26.19,105.24,2756.24,Card,86,Mismatch,Mar 2025
TXN000088,2025-03-30,Karnataka,Bengaluru,ST005,Diesel,Commercial,Truck,68.52,98.04,6717.7,Cash,87,Mismatch,Mar 2025
TXN000089,2025-04-05,Telangana,Hyderabad,ST047,Diesel,Commercial,Auto,29.18,94.93,2770.06,Card,88,Mismatch,Apr 2025
TXN000090,2025-03-04,Telangana,Hyderabad,ST040,Diesel,Individual,Auto,4.56,96.05,437.99,Card,89,Mismatch,Mar 2025
TXN000091,2025-06-19,Maharashtra,Pune,ST005,Petrol,Individual,Truck,19.44,108.44,2108.07,Cash,90,Mismatch,Jun 2025
TXN000092,2025-04-02,Telangana,Hyderabad,ST007,E20,Individual,Car,16.58,108.3,1795.61,UPI,91,Mismatch,Apr 2025
TXN000093,2025-03-06,Andhra Pradesh,Visakhapatnam,ST011,Petrol,Commercial,Bike,12.89,109.8,1415.32,UPI,92,Mismatch,Mar 2025
TXN000094,2025-03-30,Tamil Nadu,Chennai,ST018,Diesel,Individual,Truck,58.05,95.4,5537.97,Card,93,Mismatch,Mar 2025
TXN000095,2025-05-01,Maharashtra,Pune,ST032,Diesel,Individual,Bike,33.77,97.98,3308.78,Cash,94,Mismatch,May 2025
TXN000096,2025-02-27,Telangana,Hyderabad,ST024,Diesel,Individual,Auto,23.97,94.42,2263.25,UPI,95,Mismatch,Feb 2025
TXN000097,2025-04-16,Maharashtra,Pune,ST013,E20,Individual,Bike,71.14,107.06,7616.25,Card,96,Mismatch,Apr 2025
TXN000098,2025-05-16,Andhra Pradesh,Visakhapatnam,ST009,E20,Individual,Bike,67.94,106.89,7262.11,Cash,97,Mismatch,May 2025
TXN000099,2025-06-25,Tamil Nadu,Chennai,ST022,Petrol,Commercial,Car,23.92,109.59,2621.39,Cash,98,Mismatch,Jun 2025
TXN000100,2025-02-01,Telangana,Hyderabad,ST007,Petrol,Commercial,Bike,57.56,109.43,6298.79,UPI,99,Mismatch,Feb 2025
TXN000101,2025-05-13,Andhra Pradesh,Visakhapatnam,ST017,Petrol,Commercial,Auto,36.31,108.56,3941.81,UPI,100,Mismatch,May 2025
TXN000102,2025-04-30,Andhra Pradesh,Visakhapatnam,ST033,E20,Individual,Bike,57.52,107.19,6165.57,Cash,101,Mismatch,Apr 2025
TXN000103,2025-06-08,Karnataka,Bengaluru,ST021,Diesel,Individual,Bike,76.14,96.97,7383.3,Cash,102,Mismatch,Jun 2025
TXN000104,2025-04-14,Andhra Pradesh,Visakhapatnam,ST029,Petrol,Commercial,Car,54.43,109.77,5974.78,Cash,103,Mismatch,Apr 2025
TXN000105,2025-06-28,Andhra Pradesh,Visakhapatnam,ST021,Petrol,Individual,Bus,19.88,106.76,2122.39,Cash,104,Mismatch,Jun 2025
TXN000106,2025-02-07,Karnataka,Bengaluru,ST050,Petrol,Individual,Bus,30.49,110.13,3357.86,UPI,105,Mismatch,Feb 2025
TXN000107,2025-01-11,Tamil Nadu,Chennai,ST001,E20,Individual,Bus,37.34,106.73,3985.3,Card,106,Mismatch,Jan 2025
TXN000108,2025-06-26,Telangana,Hyderabad,ST042,Diesel,Individual,Bus,31.66,96.55,3056.77,Cash,107,Mismatch,Jun 2025
TXN000109,2025-04-13,Karnataka,Bengaluru,ST019,E20,Commercial,Truck,38.17,107.98,4121.6,UPI,108,Mismatch,Apr 2025
TXN000110,2025-05-25,Maharashtra,Pune,ST050,Diesel,Individual,Truck,11.23,95.68,1074.49,UPI,109,Mismatch,May 2025
TXN000111,2025-06-13,Andhra Pradesh,Visakhapatnam,ST010,Diesel,Commercial,Bike,61.81,96.46,5962.19,Cash,110,Mismatch,Jun 2025
TXN000112,2025-06-13,Maharashtra,Pune,ST049,Petrol,Commercial,Auto,25.97,109.56,2845.27,UPI,111,Mismatch,Jun 2025
TXN000113,2025-02-14,Andhra Pradesh,Visakhapatnam,ST046,E20,Individual,Truck,29.28,105.18,3079.67,Card,112,Mismatch,Feb 2025
TXN000114,2025-02-08,Maharashtra,Pune,ST019,E20,Individual,Auto,40.39,108.33,4375.45,Card,113,Mismatch,Feb 2025
TXN000115,2025-03-24,Andhra Pradesh,Visakhapatnam,ST038,Diesel,Commercial,Car,17.46,96.82,1690.48,Card,114,Mismatch,Mar 2025
TXN000116,2025-02-03,Maharashtra,Pune,ST044,Petrol,Commercial,Bus,6.15,110.01,676.56,Card,115,Mismatch,Feb 2025
TXN000117,2025-05-17,Telangana,Hyderabad,ST036,Diesel,Commercial,Bus,74.04,95.91,7101.18,Cash,116,Mismatch,May 2025
TXN000118,2025-06-07,Maharashtra,Pune,ST027,Diesel,Individual,Car,19.68,94.78,1865.27,Cash,117,Mismatch,Jun 2025
TXN000119,2025-06-10,Maharashtra,Pune,ST013,Diesel,Commercial,Car,38.48,95.33,3668.3,Card,118,Mismatch,Jun 2025
TXN000120,2025-05-01,Maharashtra,Pune,ST031,E20,Individual,Car,30.13,108.69,3274.83,UPI,119,Mismatch,May 2025
TXN000121,2025-04-30,Telangana,Hyderabad,ST002,Petrol,Individual,Truck,52.42,109.39,5734.22,Card,120,Mismatch,Apr 2025
TXN000122,2025-01-05,Telangana,Hyderabad,ST023,Diesel,Individual,Truck,72.02,94.87,6832.54,Card,121,Mismatch,Jan 2025
TXN000123,2025-04-18,Andhra Pradesh,Visakhapatnam,ST021,Petrol,Commercial,Car,21.29,107.71,2293.15,Card,122,Mismatch,Apr 2025
TXN000124,2025-02-08,Telangana,Hyderabad,ST027,Diesel,Commercial,Auto,73.4,95.03,6975.2,Card,123,Mismatch,Feb 2025
TXN000125,2025-06-20,Telangana,Hyderabad,ST026,Diesel,Individual,Car,28.71,95.17,2732.33,UPI,124,Mismatch,Jun 2025
TXN000126,2025-05-08,Andhra Pradesh,Visakhapatnam,ST024,Petrol,Individual,Car,12.82,109.38,1402.25,UPI,125,Mismatch,May 2025
TXN000127,2025-02-05,Telangana,Hyderabad,ST047,E20,Commercial,Car,29.83,105.95,3160.49,UPI,126,Mismatch,Feb 2025
TXN000128,2025-01-20,Maharashtra,Pune,ST028,Petrol,Individual,Auto,64.1,109.56,7022.8,UPI,127,Mismatch,Jan 2025
TXN000129,2025-04-16,Karnataka,Bengaluru,ST005,Diesel,Commercial,Auto,74.65,97.34,7266.43,Cash,128,Mismatch,Apr 2025
TXN000130,2025-05-03,Maharashtra,Pune,ST047,Diesel,Commercial,Car,14.09,97.58,1374.9,Cash,129,Mismatch,May 2025
TXN000131,2025-05-20,Karnataka,Bengaluru,ST026,Petrol,Commercial,Bike,21.2,107.53,2279.64,UPI,130,Mismatch,May 2025
TXN000132,2025-04-21,Tamil Nadu,Chennai,ST001,Petrol,Individual,Bike,25.22,108.55,2737.63,Card,131,Mismatch,Apr 2025
TXN000133,2025-03-07,Karnataka,Bengaluru,ST017,E20,Commercial,Truck,16.26,106.09,1725.02,UPI,132,Mismatch,Mar 2025
TXN000134,2025-02-11,Karnataka,Bengaluru,ST021,E20,Individual,Bike,14.94,106.43,1590.06,UPI,133,Mismatch,Feb 2025
TXN000135,2025-04-23,Andhra Pradesh,Visakhapatnam,ST035,Diesel,Commercial,Car,65.53,96.92,6351.17,UPI,134,Mismatch,Apr 2025
TXN000136,2025-03-30,Andhra Pradesh,Visakhapatnam,ST016,Diesel,Commercial,Bus,20.03,94.24,1887.63,UPI,135,Mismatch,Mar 2025
TXN000137,2025-05-26,Telangana,Hyderabad,ST048,E20,Commercial,Bike,8.64,104.86,905.99,UPI,136,Mismatch,May 2025
TXN000138,2025-02-06,Maharashtra,Pune,ST001,Petrol,Individual,Bus,25.8,108.81,2807.3,Card,137,Mismatch,Feb 2025
TXN000139,2025-03-11,Maharashtra,Pune,ST029,Diesel,Commercial,Car,74.38,97.39,7243.87,UPI,138,Mismatch,Mar 2025
TXN000140,2025-05-06,Tamil Nadu,Chennai,ST043,Petrol,Individual,Truck,4.3,107.66,462.94,Card,139,Mismatch,May 2025
TXN000141,2025-04-12,Karnataka,Bengaluru,ST014,Petrol,Commercial,Car,41.75,109.56,4574.13,UPI,140,Mismatch,Apr 2025
TXN000142,2025-02-22,Tamil Nadu,Chennai,ST040,E20,Individual,Bus,33.75,107.53,3629.14,Cash,141,Mismatch,Feb 2025
TXN000143,2025-05-20,Maharashtra,Pune,ST030,E20,Commercial,Car,15.1,106.04,1601.2,Cash,142,Mismatch,May 2025
TXN000144,2025-03-10,Karnataka,Bengaluru,ST008,Petrol,Individual,Car,30.13,108.7,3275.13,UPI,143,Mismatch,Mar 2025
TXN000145,2025-04-01,Maharashtra,Pune,ST026,E20,Commercial,Car,35.03,105.0,3678.15,Cash,144,Mismatch,Apr 2025
TXN000146,2025-01-30,Tamil Nadu,Chennai,ST042,Petrol,Commercial,Truck,30.18,107.65,3248.88,Cash,145,Mismatch,Jan 2025
TXN000147,2025-06-27,Andhra Pradesh,Visakhapatnam,ST007,Diesel,Individual,Auto,42.88,97.39,4176.08,Card,146,Mismatch,Jun 2025
TXN000148,2025-03-05,Tamil Nadu,Chennai,ST035,Diesel,Commercial,Truck,12.51,96.96,1212.97,Cash,147,Mismatch,Mar 2025
TXN000149,2025-03-03,Maharashtra,Pune,ST022,Petrol,Commercial,Bus,78.1,109.43,8546.48,Card,148,Mismatch,Mar 2025
TXN000150,2025-04-19,Andhra Pradesh,Visakhapatnam,ST014,Petrol,Individual,Truck,30.06,108.13,3250.39,UPI,149,Mismatch,Apr 2025
TXN000151,2025-06-19,Tamil Nadu,Chennai,ST037,Petrol,Individual,Auto,68.72,108.88,7482.23,Cash,150,Mismatch,Jun 2025
TXN000152,2025-01-04,Telangana,Hyderabad,ST022,E20,Commercial,Bike,43.48,108.23,4705.84,Cash,151,Mismatch,Jan 2025
TXN000153,2025-05-31,Karnataka,Bengaluru,ST031,E20,Commercial,Truck,29.89,105.0,3138.45,Cash,152,Mismatch,May 2025
TXN000154,2025-05-22,Tamil Nadu,Chennai,ST027,Petrol,Commercial,Car,42.08,107.42,4520.23,Card,153,Mismatch,May 2025
TXN000155,2025-05-24,Karnataka,Bengaluru,ST017,E20,Commercial,Bike,45.0,106.56,4795.2,UPI,154,Mismatch,May 2025
TXN000156,2025-04-15,Andhra Pradesh,Visakhapatnam,ST031,E20,Commercial,Auto,52.49,106.63,5597.01,Cash,155,Mismatch,Apr 2025
TXN000157,2025-01-01,Maharashtra,Pune,ST035,E20,Individual,Truck,43.27,105.55,4567.15,Card,156,Mismatch,Jan 2025
TXN000158,2025-03-21,Telangana,Hyderabad,ST022,Petrol,Commercial,Auto,11.03,110.43,1218.04,Card,157,Mismatch,Mar 2025
TXN000159,2025-04-07,Telangana,Hyderabad,ST033,Petrol,Individual,Auto,41.23,109.13,4499.43,UPI,158,Mismatch,Apr 2025
TXN000160,2025-05-12,Maharashtra,Pune,ST026,E20,Commercial,Bike,47.23,105.37,4976.63,Card,159,Mismatch,May 2025
TXN000161,2025-01-08,Andhra Pradesh,Visakhapatnam,ST005,Diesel,Individual,Truck,8.95,95.69,856.43,Cash,160,Mismatch,Jan 2025
TXN000162,2025-03-01,Andhra Pradesh,Visakhapatnam,ST007,E20,Commercial,Bus,9.32,108.76,1013.64,Card,161,Mismatch,Mar 2025
TXN000163,2025-06-08,Telangana,Hyderabad,ST029,Diesel,Commercial,Truck,73.01,94.63,6908.94,Card,162,Mismatch,Jun 2025
TXN000164,2025-05-02,Andhra Pradesh,Visakhapatnam,ST031,E20,Commercial,Bus,63.19,107.54,6795.45,Cash,163,Mismatch,May 2025
TXN000165,2025-01-01,Maharashtra,Pune,ST016,E20,Individual,Truck,27.14,108.12,2934.38,UPI,164,Mismatch,Jan 2025
TXN000166,2025-04-16,Karnataka,Bengaluru,ST028,Diesel,Individual,Bike,7.35,95.95,705.23,Cash,165,Mismatch,Apr 2025
TXN000167,2025-03-05,Andhra Pradesh,Visakhapatnam,ST013,Petrol,Individual,Bike,35.12,110.05,3864.96,Card,166,Mismatch,Mar 2025
TXN000168,2025-05-02,Tamil Nadu,Chennai,ST009,Diesel,Individual,Bus,31.92,95.23,3039.74,Cash,167,Mismatch,May 2025
TXN000169,2025-03-21,Andhra Pradesh,Visakhapatnam,ST027,E20,Commercial,Car,77.17,108.06,8338.99,Cash,168,Mismatch,Mar 2025
TXN000170,2025-03-15,Tamil Nadu,Chennai,ST036,Diesel,Individual,Truck,61.95,94.99,5884.63,Cash,169,Mismatch,Mar 2025
TXN000171,2025-06-17,Telangana,Hyderabad,ST040,Diesel,Commercial,Car,14.24,95.26,1356.5,Card,170,Mismatch,Jun 2025
TXN000172,2025-02-26,Andhra Pradesh,Visakhapatnam,ST012,E20,Individual,Truck,76.25,106.88,8149.6,UPI,171,Mismatch,Feb 2025
TXN000173,2025-06-13,Maharashtra,Pune,ST039,Diesel,Commercial,Bus,54.36,98.0,5327.28,UPI,172,Mismatch,Jun 2025
TXN000174,2025-05-29,Karnataka,Bengaluru,ST001,Diesel,Commercial,Bus,79.09,97.85,7738.96,UPI,173,Mismatch,May 2025
TXN000175,2025-03-24,Maharashtra,Pune,ST048,Diesel,Commercial,Bus,53.33,97.86,5218.87,Card,174,Mismatch,Mar 2025
TXN000176,2025-06-08,Maharashtra,Pune,ST040,E20,Commercial,Auto,40.39,108.02,4362.93,Cash,175,Mismatch,Jun 2025
TXN000177,2025-01-28,Tamil Nadu,Chennai,ST026,Diesel,Commercial,Bike,49.84,98.1,4889.3,Cash,176,Mismatch,Jan 2025
TXN000178,2025-06-02,Telangana,Hyderabad,ST005,Diesel,Commercial,Truck,9.89,96.35,952.9,Cash,177,Mismatch,Jun 2025
TXN000179,2025-03-18,Telangana,Hyderabad,ST043,Petrol,Commercial,Bus,58.82,106.87,6286.09,Card,178,Mismatch,Mar 2025
TXN000180,2025-04-06,Telangana,Hyderabad,ST019,Diesel,Commercial,Car,2.02,94.7,191.29,Cash,179,Mismatch,Apr 2025
TXN000181,2025-01-25,Maharashtra,Pune,ST032,Diesel,Commercial,Bike,32.77,96.95,3177.05,UPI,180,Mismatch,Jan 2025
TXN000182,2025-04-02,Tamil Nadu,Chennai,ST030,Petrol,Individual,Auto,9.21,110.17,1014.67,UPI,181,Mismatch,Apr 2025
TXN000183,2025-01-08,Maharashtra,Pune,ST042,Diesel,Commercial,Car,75.03,98.18,7366.45,Card,182,Mismatch,Jan 2025
TXN000184,2025-01-26,Telangana,Hyderabad,ST024,Diesel,Individual,Car,22.44,96.42,2163.66,UPI,183,Mismatch,Jan 2025
TXN000185,2025-04-17,Tamil Nadu,Chennai,ST002,E20,Commercial,Truck,40.28,107.82,4342.99,Cash,184,Mismatch,Apr 2025
